"","pref","year","prov","mayor_term","invest","state_share","soe_share","local_share","local_soe_share","nonlocal_soe_share","nonlocal_nonsoe_share","local_nonsoe_share","invest_l","mayor_term1","mayor_age","gender_fem.y","ethnicity.y","edu_onjob.y","lgdp_pc","lpopul","lfiscal","distCity","industryOptionalName","projName","first_con_mayor","projRid","cooperationTerm","returnMode","local_size","soe_size","local_soe_size","local_nonsoe_size","local_size_l","local_soe_size_l","local_nonsoe_size_l","soe_size_l","type"
"5559","宁波市",2016,"浙江省",1,4465153900,0.44,0,0.44,0.44,0,39.18,0.44,22.219569518766,1,55,0,0,18,11.5363880530979,6.3742920130603,16.124481716566,330200,"其他","慈溪市新城河区块一期改造PPP项目",0,"4e17facc11ba4e8ab653a2a95204da08",15,"3",1964667716,0,1964667716,1964667716,21.3985889672051,21.3985889672051,21.3985889672051,0,"Housing"
"5560","市辖区",2016,"北京市",NA,5.249e+09,0,1.31,4.7,4.7,0,0,3.39,22.3813034192166,NA,NA,NA,NA,12,NA,NA,NA,110100,"其他","北京市通州区通州·北京城市副中心水环境治理（两河片区）PPP建设项目",NA,"4b14cb00fef34b58a8ebf730295a51e4",25,"1",24670300000,6876190000,24670300000,17794110000,23.9288659279731,23.9288659279731,23.6021333406651,22.6513305565751,"Constrcution"
"5561","黄石市",2016,"湖北省",2,1.699e+09,45.01,0,45.01,45.01,0,54.99,45.01,21.2533056796362,2,48,0,0,16,10.820837723007,5.59087503394657,13.82129380272,420200,"体育","黄石奥林匹克体育中心",1,"5b820294a16348cbb1508e6a0a50a0f2",25,"3",76471990000,0,76471990000,76471990000,25.0601903669541,25.0601903669541,25.0601903669541,0,"Sports"
"5562","渭南市",2016,"陕西省",2,597190000,10,10,10,10,0,90,0,20.20774587868,2,51,0,0,21,10.2201943040285,6.3220624205366,13.4877950688718,610500,"景观绿化","陕西省渭南市富平县温泉河综合治理二期工程PPP项目",0,"5c85d0052c7a4f1fb5facf500071b9e8",15,"1",5971900000,5971900000,5971900000,0,22.5103309718415,22.5103309718415,0,22.5103309718415,"Constrcution"
"5563","益阳市",2016,"湖南省",1,1603210000,20,0,20,20,0,80,20,21.1952737063603,1,50,0,0,12,10.3344904444321,6.17549297969362,13.4383675653857,430900,"其他","益阳高新区东部产业园综合配套设施PPP项目",0,"6464bfb6c69b44b9abb07ebef9f13b4f",20,"3",32064200000,0,32064200000,32064200000,24.1910059799455,24.1910059799455,24.1910059799455,0,"Others"
"5564","扬州市",2016,"江苏省",5,1.253e+09,20,0,51,51,0,29,51,20.9488065128603,5,60,0,0,18,11.4036350150043,6.13365831281116,15.0296811872667,321000,"高速公路","江苏省高邮市S333省道高邮东段改扩建工程项目",0,"5e40962bc5874da5a7745558d2cde428",12,"3",6.3903e+10,0,6.3903e+10,6.3903e+10,24.8806321456003,24.8806321456003,24.8806321456003,0,"Public Transportation"
"5565","宣城市",2016,"安徽省",4,198620000,10,100,10,100,90,0,0,19.1069040094395,4,52,0,0,12,10.5350252514644,5.6346110157949,14.0897813498799,341800,"一级公路","安徽省宣城市宁国市S104“二改一”河沥溪段PPP项目",0,"5ee86aa426cf4c87a1fd63edb3d8a637",13,"1",1986200000,1.9862e+10,1.9862e+10,0,21.409489102937,23.7120741954779,0,23.7120741954779,"Public Transportation"
"5566","淮安市",2016,"江苏省",1,2150365600,0,0,0,0,0,100,0,21.4889037111413,1,52,0,0,12,NA,NA,NA,320800,"城镇化建设","涟水县高沟镇整区域城镇化建设项目",1,"5d8f9f90d08f4b109b7bd5f3ed84bc60",10,"1",0,0,0,0,0,0,0,0,"Constrcution"
"5567","阜阳市",2016,"安徽省",4,722687500,5,0,5,5,0,95,5,20.3984874598535,4,54,0,0,18,9.687878048876,6.9495208282146,13.9981862187227,341200,"二级公路","安徽省阜阳市颍上县S454颍上夏桥至杨湖段改建工程PPP项目",0,"61167d9db7bc4a02bc3da89457729473",15,"1",3613437500,0,3613437500,3613437500,22.0079253725643,22.0079253725643,22.0079253725643,0,"Public Transportation"
"5568","西宁市",2016,"青海省",2,389180000,NA,NA,NA,NA,NA,NA,NA,19.7795525194943,2,53,0,0,21,10.8035879250116,5.30415032174048,13.7619631460142,630100,"供热","多巴新城热电联产集中供热项目",0,"7a3c3368438549f0ba2b503000d68b82",30,"2",NA,NA,NA,NA,NA,NA,NA,NA,"Energy"
"5569","台州市",2016,"浙江省",4,1759180000,1.2,0,1.2,1.2,0,0,1.2,21.2881136283362,4,50,0,0,21,10.9838849527833,6.39273754726394,14.9074909038343,331000,"其他","浙江省台州市浙江大学台州研究院（科技城综合区）PPP项目",1,"70751f7714d149ac8c66b9a4437682f5",30,"3",2111016000,0,2111016000,2111016000,21.4704351856039,21.4704351856039,21.4704351856039,0,"Science & Technology"
